dataset,perturb,level,method,dim,seed,cos,l2,delta_acc_svm,delta_acc_mlp,delta_f1_svm,delta_f1_mlp,delta_auc_svm,delta_auc_mlp
MUTAG,edges,0.5,netlsd,16,0,0.9305954708336991,7.917661340009064,-0.0585106382978724,0.015957446808510634,-0.06599900313665608,0.018566067548884013,-0.04533333333333334,0.0017142857142857792
MUTAG,edges,0.75,netlsd,16,0,0.9194937240990156,6.3459197793652,-0.07446808510638303,0.005319148936170248,-0.08323056003541729,0.00644102819392367,-0.04546031746031742,0.0003809523809522597
MUTAG,edges,1.0,netlsd,16,0,0.8951254342228676,7.994945396901695,-0.02659574468085113,-0.06914893617021278,-0.03115210093491516,-0.07936611109852565,-0.003936507936508016,-0.02730158730158716
MUTAG,attrs,0.25,netlsd,16,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUTAG,attrs,0.5,netlsd,16,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUTAG,attrs,0.75,netlsd,16,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUTAG,attrs,1.0,netlsd,16,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUTAG,edges,0.25,netlsd,32,0,0.9323671378213505,6.07137827325388,-0.0478723404255319,0.005319148936170248,-0.056288950133104754,0.006432338363392853,-0.03606349206349202,1.1102230246251565e-16
MUTAG,edges,0.5,netlsd,32,0,0.9305954708336973,7.917661340009326,-0.0478723404255319,0.005319148936170248,-0.051103095181752156,0.00614348266482212,-0.04076190476190489,0.00025396825396828415
MUTAG,edges,0.75,netlsd,32,0,0.9194937240990186,6.345919779365504,-0.0585106382978724,0.0,-0.06614810530094806,0.00020191817640990983,-0.045015873015872954,-0.0005714285714285561
MUTAG,edges,1.0,netlsd,32,0,0.8951254342228662,7.994945396901728,-0.03191489361702127,-0.07978723404255317,-0.03462619631562447,-0.08958114720670696,-0.016825396825396854,-0.026984126984127
MUTAG,attrs,0.25,netlsd,32,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUTAG,attrs,0.5,netlsd,32,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUTAG,attrs,0.75,netlsd,32,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUTAG,attrs,1.0,netlsd,32,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUTAG,edges,0.25,netlsd,64,0,0.9323671378213505,6.07137827325388,-0.005319148936170248,0.0,-0.005802349910303262,0.0,0.00025396825396828415,0.00012698412698408656
MUTAG,edges,0.5,netlsd,64,0,0.9305954708336973,7.917661340009326,-0.02659574468085113,0.0,-0.030618339933502936,0.0,-0.0012698412698411987,0.00012698412698408656
MUTAG,edges,0.75,netlsd,64,0,0.9194937240990186,6.345919779365504,-0.02659574468085113,-0.010638297872340496,-0.02958250992042244,-0.012032770097286205,-0.0030476190476189657,-0.0006349206349206549
MUTAG,edges,1.0,netlsd,64,0,0.8951254342228662,7.994945396901728,-0.06914893617021278,-0.06914893617021278,-0.07784770799036322,-0.07784770799036322,-0.018857142857142795,-0.01866666666666661
