src,tgt,method,dim,seed,acc,f1,auc,acc_src,f1_src,auc_src,delta_acc,delta_f1,delta_auc
ENZYMES,IMDB-MULTI,gin,16,0,0.0,0.0,,0.5333333333333333,0.5277701564760421,0.8420966666666665,0.5333333333333333,0.5277701564760421,
IMDB-MULTI,MUTAG,gin,16,0,0.3351063829787234,0.250996015936255,0.40558730158730166,0.47733333333333333,0.447191010708141,0.6517883333333333,0.14222695035460992,0.196194994771886,0.24620103174603164
IMDB-MULTI,ENZYMES,gin,16,0,0.14333333333333334,0.06966525390719581,0.4276533333333334,0.47733333333333333,0.447191010708141,0.6517883333333333,0.33399999999999996,0.3775257568009452,0.22413499999999992
IMDB-MULTI,IMDB-MULTI,gin,16,0,0.47733333333333333,0.447191010708141,0.6517883333333333,0.47733333333333333,0.447191010708141,0.6517883333333333,0.0,0.0,0.0
MUTAG,MUTAG,graph2vec,32,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
MUTAG,ENZYMES,graph2vec,32,0,0.165,0.05323456790123456,0.46254500000000004,1.0,1.0,1.0,0.835,0.9467654320987654,0.537455
MUTAG,IMDB-MULTI,graph2vec,32,0,0.3253333333333333,0.21051657825169623,0.4640735,1.0,1.0,1.0,0.6746666666666667,0.7894834217483038,0.5359265
ENZYMES,MUTAG,graph2vec,32,0,0.0,0.0,0.38069841269841276,1.0,1.0,1.0,1.0,1.0,0.6193015873015872
ENZYMES,ENZYMES,graph2vec,32,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
ENZYMES,IMDB-MULTI,graph2vec,32,0,0.068,0.05216425690385199,,1.0,1.0,1.0,0.9319999999999999,0.947835743096148,
IMDB-MULTI,MUTAG,graph2vec,32,0,0.2925531914893617,0.1652271704903284,0.460952380952381,0.8413333333333334,0.8413160716203493,0.9589820000000001,0.5487801418439717,0.6760889011300208,0.4980296190476191
IMDB-MULTI,ENZYMES,graph2vec,32,0,0.16666666666666666,0.047619047619047616,0.5194033333333333,0.8413333333333334,0.8413160716203493,0.9589820000000001,0.6746666666666667,0.7936970240013017,0.4395786666666668
IMDB-MULTI,IMDB-MULTI,graph2vec,32,0,0.8413333333333334,0.8413160716203493,0.9589820000000001,0.8413333333333334,0.8413160716203493,0.9589820000000001,0.0,0.0,0.0
MUTAG,MUTAG,netlsd,32,0,0.9787234042553191,0.9757325416290177,0.9991746031746032,0.9787234042553191,0.9757325416290177,0.9991746031746032,0.0,0.0,0.0
MUTAG,ENZYMES,netlsd,32,0,0.15666666666666668,0.06491458918643385,0.45918,0.9787234042553191,0.9757325416290177,0.9991746031746032,0.8220567375886525,0.9108179524425838,0.5399946031746032
MUTAG,IMDB-MULTI,netlsd,32,0,0.2866666666666667,0.2247990455955058,0.451249,0.9787234042553191,0.9757325416290177,0.9991746031746032,0.6920567375886524,0.7509334960335119,0.5479256031746031
ENZYMES,MUTAG,netlsd,32,0,0.0,0.0,0.1407619047619048,1.0,1.0,1.0,1.0,1.0,0.8592380952380951
ENZYMES,ENZYMES,netlsd,32,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
ENZYMES,IMDB-MULTI,netlsd,32,0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,
IMDB-MULTI,MUTAG,netlsd,32,0,0.16489361702127658,0.1360099595393713,0.5363809523809523,0.6686666666666666,0.6671572919218663,0.8589706666666667,0.50377304964539,0.531147332382495,0.32258971428571437
IMDB-MULTI,ENZYMES,netlsd,32,0,0.165,0.08264804693376122,0.49730333333333326,0.6686666666666666,0.6671572919218663,0.8589706666666667,0.5036666666666666,0.5845092449881051,0.3616673333333334
IMDB-MULTI,IMDB-MULTI,netlsd,32,0,0.6686666666666666,0.6671572919218663,0.8589706666666667,0.6686666666666666,0.6671572919218663,0.8589706666666667,0.0,0.0,0.0
